,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
2714,GCA_0101584351_2,Unassigned,Unassigned,Unassigned,456_0,Clustered,22,VC_456_0,22,0.5141,1.0,0.5141,1,1,1,1.0
2715,GCA_0101584451_1,Unassigned,Unassigned,Unassigned,442_0,Clustered,43,VC_442_0,43,0.5512,1.0,0.5512,1,1,1,1.0
2716,GCA_0101584751_1,Unassigned,Unassigned,Unassigned,399_0,Clustered,74,VC_399_0,74,0.988,1.0,0.988,1,1,1,1.0
2717,GCA_0101584751_2,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2718,GCA_0101584851_1,Unassigned,Unassigned,Unassigned,442_0,Clustered,43,VC_442_0,43,0.5512,1.0,0.5512,1,1,1,1.0
2719,GCA_0101585151_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2720,GCA_0101585351_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2721,GCA_0101585451_1,Unassigned,Unassigned,Unassigned,442_0,Clustered,43,VC_442_0,43,0.5512,1.0,0.5512,1,1,1,1.0
2722,GCA_0101585751_1,Unassigned,Unassigned,Unassigned,442_0,Clustered,43,VC_442_0,43,0.5512,1.0,0.5512,1,1,1,1.0
2723,GCA_0101585951_1,Unassigned,Unassigned,Unassigned,399_0,Clustered,74,VC_399_0,74,0.988,1.0,0.988,1,1,1,1.0
2724,GCA_0101586051_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2725,GCA_0101586551_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2726,GCA_0101586651_1,Unassigned,Unassigned,Unassigned,442_0,Clustered,43,VC_442_0,43,0.5512,1.0,0.5512,1,1,1,1.0
2727,GCA_0101586651_2,Unassigned,Unassigned,Unassigned,465_0,Clustered,18,VC_465_0,18,0.6998,1.0,0.6998,1,1,1,1.0
2728,GCA_0101586851_1,Unassigned,Unassigned,Unassigned,490_0,Clustered,18,VC_490_0,18,0.6933,1.0,0.6933,1,1,1,1.0
2729,GCA_0101586851_2,Unassigned,Unassigned,Unassigned,456_0,Clustered,22,VC_456_0,22,0.5141,1.0,0.5141,1,1,1,1.0
2730,GCA_0101587151_1,Unassigned,Unassigned,Unassigned,442_0,Clustered,43,VC_442_0,43,0.5512,1.0,0.5512,1,1,1,1.0
2731,GCA_0101587151_2,Unassigned,Unassigned,Unassigned,465_0,Clustered,18,VC_465_0,18,0.6998,1.0,0.6998,1,1,1,1.0
2732,GCA_0101587351_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2733,GCA_0101587551_1,Unassigned,Unassigned,Unassigned,465_0,Clustered,18,VC_465_0,18,0.6998,1.0,0.6998,1,1,1,1.0
2734,GCA_0101587651_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2735,GCA_0101587751_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2736,GCA_0101587851_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2737,GCA_0101588351_1,Unassigned,Unassigned,Unassigned,453_0,Clustered,40,VC_453_0,40,0.4702,1.0,0.4702,1,1,1,1.0
2738,GCA_0101588351_2,Unassigned,Unassigned,Unassigned,445_0,Clustered,27,VC_445_0,27,0.6047,1.0,0.6047,1,1,1,1.0
2739,GCA_0101588551_1,Unassigned,Unassigned,Unassigned,399_0,Clustered,74,VC_399_0,74,0.988,1.0,0.988,1,1,1,1.0
2740,GCA_0101588551_2,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2741,GCA_0101588651_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2742,GCA_0101588751_1,Unassigned,Unassigned,Unassigned,442_0,Clustered,43,VC_442_0,43,0.5512,1.0,0.5512,1,1,1,1.0
2743,GCA_0101588751_2,Unassigned,Unassigned,Unassigned,465_0,Clustered,18,VC_465_0,18,0.6998,1.0,0.6998,1,1,1,1.0
2744,GCA_0101588751_3,Unassigned,Unassigned,Unassigned,513_0,Clustered,5,VC_513_0,5,0.0454,0.999966,0.0454,1,1,1,1.0
2745,GCA_0101588851_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2746,GCA_0101589351_1,Unassigned,Unassigned,Unassigned,442_0,Clustered,43,VC_442_0,43,0.5512,1.0,0.5512,1,1,1,1.0
2747,GCA_0101589551_2,Unassigned,Unassigned,Unassigned,399_0,Clustered,74,VC_399_0,74,0.988,1.0,0.988,1,1,1,1.0
2748,GCA_0101589751_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2749,GCA_0101589751_2,Unassigned,Unassigned,Unassigned,399_0,Clustered,74,VC_399_0,74,0.988,1.0,0.988,1,1,1,1.0
2750,GCA_0101589951_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2751,GCA_0101589951_3,Unassigned,Unassigned,Unassigned,399_0,Clustered,74,VC_399_0,74,0.988,1.0,0.988,1,1,1,1.0
2752,GCA_0101590051_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2753,GCA_0101590351_1,Unassigned,Unassigned,Unassigned,399_0,Clustered,74,VC_399_0,74,0.988,1.0,0.988,1,1,1,1.0
2754,GCA_0101590351_3,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2755,GCA_0101590551_1,Unassigned,Unassigned,Unassigned,465_0,Clustered,18,VC_465_0,18,0.6998,1.0,0.6998,1,1,1,1.0
2756,GCA_0101590551_2,Unassigned,Unassigned,Unassigned,442_0,Clustered,43,VC_442_0,43,0.5512,1.0,0.5512,1,1,1,1.0
2757,GCA_0101590651_1,Unassigned,Unassigned,Unassigned,442_0,Clustered,43,VC_442_0,43,0.5512,1.0,0.5512,1,1,1,1.0
2758,GCA_0101590751_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2759,GCA_0101591051_2,Unassigned,Unassigned,Unassigned,399_0,Clustered,74,VC_399_0,74,0.988,1.0,0.988,1,1,1,1.0
2760,GCA_0101591351_1,Unassigned,Unassigned,Unassigned,490_0,Clustered,18,VC_490_0,18,0.6933,1.0,0.6933,1,1,1,1.0
2761,GCA_0101591351_2,Unassigned,Unassigned,Unassigned,456_0,Clustered,22,VC_456_0,22,0.5141,1.0,0.5141,1,1,1,1.0
2762,GCA_0101591551_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2763,GCA_0101591551_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2764,GCA_0101591551_3,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2765,GCA_0101591651_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2766,GCA_0101591751_1,Unassigned,Unassigned,Unassigned,490_0,Clustered,18,VC_490_0,18,0.6933,1.0,0.6933,1,1,1,1.0
2767,GCA_0101591751_2,Unassigned,Unassigned,Unassigned,456_0,Clustered,22,VC_456_0,22,0.5141,1.0,0.5141,1,1,1,1.0
2768,GCA_0101591851_1,Unassigned,Unassigned,Unassigned,465_0,Clustered,18,VC_465_0,18,0.6998,1.0,0.6998,1,1,1,1.0
2769,GCA_0101591851_2,Unassigned,Unassigned,Unassigned,513_0,Clustered,5,VC_513_0,5,0.0454,0.999966,0.0454,1,1,1,1.0
2770,GCA_0101592351_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2771,GCA_0101592551_1,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2772,GCA_0101592651_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2773,GCA_0101592751_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2774,GCA_0101592851_1,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2775,GCA_0101593351_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2776,GCA_0101593551_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2777,GCA_0101593751_1,Unassigned,Unassigned,Unassigned,496_0,Clustered,23,VC_496_0,23,0.6435,1.0,0.6435,1,1,1,1.0
2778,GCA_0101593851_1,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2779,GCA_0101594151_1,Unassigned,Unassigned,Unassigned,496_0,Clustered,23,VC_496_0,23,0.6435,1.0,0.6435,1,1,1,1.0
2780,GCA_0101594151_2,Unassigned,Unassigned,Unassigned,515_0,Clustered,4,VC_515_0,4,0.0595,0.99900016,0.0595,1,1,1,1.0
2781,GCA_0101594251_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2782,GCA_0101594551_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2783,GCA_0101594651_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2784,GCA_0101594651_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2785,GCA_0101594651_3,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2786,GCA_0101594951_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2787,GCA_0101595051_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2788,GCA_0101595151_3,Unassigned,Unassigned,Unassigned,512_0,Clustered,156,VC_512_0,156,0.9893,1.0,0.9893,1,1,1,1.0
2789,GCA_0101595251_1,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2790,GCA_0101595951_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2791,GCA_0101596051_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2792,GCA_0101596151_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2793,GCA_0101596251_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2794,GCA_0101596351_1,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2795,GCA_0101596951_1,Unassigned,Unassigned,Unassigned,504_0,Clustered,2,VC_504_0,2,0.0184,0.95736936,0.0176,1,1,1,1.0
2796,GCA_0101596951_2,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2797,GCA_0101597151_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2798,GCA_0101597151_2,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2799,GCA_0101597251_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2800,GCA_0101597351_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2801,GCA_0101597451_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2802,GCA_0101597951_1,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2803,GCA_0101598151_1,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2804,GCA_0101598251_1,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2805,GCA_0101598351_1,Unassigned,Unassigned,Unassigned,463_0,Clustered,13,VC_463_0,13,0.2855,1.0,0.2855,1,1,1,1.0
2806,GCA_0101598351_2,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2807,GCA_0101598451_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2808,GCA_0101598451_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2809,GCA_0101598951_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2810,GCA_0101598951_2,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2811,GCA_0101599051_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2812,GCA_0101599151_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2813,GCA_0101599551_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2814,GCA_0101599551_2,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2815,GCA_0101599651_1,Unassigned,Unassigned,Unassigned,484_0,Clustered,22,VC_484_0,22,0.656,1.0,0.656,1,1,1,1.0
2816,GCA_0101599951_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2817,GCA_0101600051_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2818,GCA_0101600551_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2819,GCA_0101600551_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2820,GCA_0101600651_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2821,GCA_0101600651_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2822,GCA_0101600751_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2823,GCA_0101601351_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2824,GCA_0101601451_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2825,GCA_0101601651_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2826,GCA_0101601651_2,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2827,GCA_0101601751_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2828,GCA_0101602151_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2829,GCA_0101602151_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2830,GCA_0101602151_3,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2831,GCA_0101602351_1,Unassigned,Unassigned,Unassigned,496_0,Clustered,23,VC_496_0,23,0.6435,1.0,0.6435,1,1,1,1.0
2832,GCA_0101602451_1,Unassigned,Unassigned,Unassigned,464_0,Clustered,12,VC_464_0,12,0.5069,1.0,0.5069,1,1,1,1.0
2833,GCA_0101602651_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2834,GCA_0101602751_1,Unassigned,Unassigned,Unassigned,496_0,Clustered,23,VC_496_0,23,0.6435,1.0,0.6435,1,1,1,1.0
2835,GCA_0101603151_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2836,GCA_0101603151_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2837,GCA_0101603351_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2838,GCA_0101603451_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2839,GCA_0101603551_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2840,GCA_0101603951_1,Unassigned,Unassigned,Unassigned,484_0,Clustered,22,VC_484_0,22,0.656,1.0,0.656,1,1,1,1.0
2841,GCA_0101604151_1,Unassigned,Unassigned,Unassigned,464_0,Clustered,12,VC_464_0,12,0.5069,1.0,0.5069,1,1,1,1.0
2842,GCA_0101604251_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2843,GCA_0101604551_1,Unassigned,Unassigned,Unassigned,496_0,Clustered,23,VC_496_0,23,0.6435,1.0,0.6435,1,1,1,1.0
2844,GCA_0101604651_1,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2845,GCA_0101604951_1,Unassigned,Unassigned,Unassigned,484_0,Clustered,22,VC_484_0,22,0.656,1.0,0.656,1,1,1,1.0
2846,GCA_0101605151_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2847,GCA_0101605151_3,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2848,GCA_0101605251_1,Unassigned,Unassigned,Unassigned,523_0,Clustered,28,VC_523_0,28,0.9749,1.0,0.9749,1,1,1,1.0
2849,GCA_0101605251_2,Unassigned,Unassigned,Unassigned,397_0,Clustered,30,VC_397_0,30,0.3535,1.0,0.3535,1,1,1,1.0
2850,GCA_0101605351_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2851,GCA_0101605851_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2852,GCA_0101605851_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2853,GCA_0101606051_1,Unassigned,Unassigned,Unassigned,496_0,Clustered,23,VC_496_0,23,0.6435,1.0,0.6435,1,1,1,1.0
2854,GCA_0101606251_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2855,GCA_0101606251_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2856,GCA_0101606251_3,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2857,GCA_0101606451_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2858,GCA_0101606751_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2859,GCA_0101606751_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2860,GCA_0101606751_3,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2861,GCA_0101606951_1,Unassigned,Unassigned,Unassigned,484_0,Clustered,22,VC_484_0,22,0.656,1.0,0.656,1,1,1,1.0
2862,GCA_0101607051_1,Unassigned,Unassigned,Unassigned,464_0,Clustered,12,VC_464_0,12,0.5069,1.0,0.5069,1,1,1,1.0
2863,GCA_0101607151_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2864,GCA_0101607151_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2865,GCA_0101607551_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2866,GCA_0101607751_2,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2867,GCA_0101608051_1,Unassigned,Unassigned,Unassigned,520_0,Clustered,102,VC_520_0,102,0.9726,1.0,0.9726,1,1,1,1.0
2868,GCA_0101608051_2,Unassigned,Unassigned,Unassigned,485_0,Clustered,58,VC_485_0,58,0.948,1.0,0.948,1,1,1,1.0
2869,GCA_0101608351_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2870,GCA_0101608451_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2871,GCA_0101608651_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2872,GCA_0101608951_1,Unassigned,Unassigned,Unassigned,484_0,Clustered,22,VC_484_0,22,0.656,1.0,0.656,1,1,1,1.0
2873,GCA_0101609051_1,Unassigned,Unassigned,Unassigned,477_0,Clustered,23,VC_477_0,23,0.5128,1.0,0.5128,1,1,1,1.0
2874,GCA_0101609151_1,Unassigned,Unassigned,Unassigned,496_0,Clustered,23,VC_496_0,23,0.6435,1.0,0.6435,1,1,1,1.0
2875,GCA_0101609551_1,Unassigned,Unassigned,Unassigned,468_0,Clustered,73,VC_468_0,73,0.7477,1.0,0.7477,1,1,1,1.0
2876,GCA_0101609651_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2877,GCA_0101609751_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2878,GCA_0101609751_2,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2879,GCA_0101609951_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2880,GCA_0101610051_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2881,GCA_0101610551_1,Unassigned,Unassigned,Unassigned,464_0,Clustered,12,VC_464_0,12,0.5069,1.0,0.5069,1,1,1,1.0
2882,GCA_0101610651_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2883,GCA_0101610851_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2884,GCA_0101611251_1,Unassigned,Unassigned,Unassigned,441_0,Clustered,17,VC_441_0,17,0.1096,1.0,0.1096,1,1,1,1.0
2885,GCA_0101611551_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2886,GCA_0101611651_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2887,GCA_0101611951_1,Unassigned,Unassigned,Unassigned,463_0,Clustered,13,VC_463_0,13,0.2855,1.0,0.2855,1,1,1,1.0
2888,GCA_0101611951_2,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2889,GCA_0101612051_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2890,GCA_0101612151_1,Unassigned,Unassigned,Unassigned,464_0,Clustered,12,VC_464_0,12,0.5069,1.0,0.5069,1,1,1,1.0
2891,GCA_0101612551_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2892,GCA_0101612751_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2893,GCA_0101612751_2,Unassigned,Unassigned,Unassigned,463_0,Clustered,13,VC_463_0,13,0.2855,1.0,0.2855,1,1,1,1.0
2894,GCA_0101613151_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2895,GCA_0101613251_1,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
2896,GCA_0101613251_2,Unassigned,Unassigned,Unassigned,494_0,Clustered,157,VC_494_0,157,0.6621,1.0,0.6621,1,2,2,1.0
